sample_id,ligand,cation,mean_intensity,sd_intensity,n_wells,label_binary
100.1,ThT,NaCl,90.935,,1,weak
100.6,ThT,NaCl,103.67499999999998,15.520993847044725,2,weak
100.8,ThT,NaCl,96.065,,1,weak
103.7,ThT,NaCl,91.61,,1,weak
104.8,ThT,NaCl,112.94999999999999,,1,weak
106.8,ThT,NaCl,92.795,,1,weak
109.3,ThT,NaCl,109.6,,1,weak
109.9,ThT,NaCl,109.6,,1,weak
110,ThT,NaCl,126.2,,1,weak
111AF,ThT,NaCl,114.64999999999999,,1,weak
111TF,ThT,NaCl,136.3,,1,strong
112.3,ThT,NaCl,104.13499999999999,,1,weak
112.5,ThT,NaCl,55.64,,1,weak
112AF,ThT,NaCl,124.56,,1,weak
112T,ThT,NaCl,55.64,,1,weak
113.8,ThT,NaCl,95.28999999999999,,1,weak
113AF,ThT,NaCl,124.86,,1,weak
113T,ThT,NaCl,65.48,,1,weak
114AF,ThT,NaCl,150.15,,1,strong
114T,ThT,NaCl,66.59,,1,weak
115AF,ThT,NaCl,151.0,,1,strong
115T,ThT,NaCl,70.92,,1,weak
118.4,ThT,NaCl,129.7,,1,weak
118.6,ThT,NaCl,124.95,,1,weak
121.1,ThT,NaCl,112.94999999999999,,1,weak
121AF,ThT,NaCl,177.7,,1,strong
121T,ThT,NaCl,60.76,,1,weak
122A,ThT,NaCl,86.16499999999999,,1,weak
122T,ThT,NaCl,90.07,,1,weak
125,ThT,NaCl,66.59,,1,weak
126,ThT,NaCl,136.3,,1,strong
128.2,ThT,NaCl,62.24,,1,weak
128.3,ThT,NaCl,79.14,,1,weak
128.7,ThT,NaCl,114.64999999999999,,1,weak
129.8,ThT,NaCl,62.2,,1,weak
130.7,ThT,NaCl,133.3,,1,weak
131.3,ThT,NaCl,124.95,,1,weak
131.7,ThT,NaCl,139.75,,1,strong
131AF,ThT,NaCl,129.7,,1,weak
131T,ThT,NaCl,50.04,,1,weak
132.5,ThT,NaCl,150.15,,1,strong
133A,ThT,NaCl,91.61,,1,weak
133T,ThT,NaCl,72.785,,1,weak
134.1,ThT,NaCl,114.39,,1,weak
135.9,ThT,NaCl,133.3,,1,weak
139.4,ThT,NaCl,145.8,,1,strong
139.7,ThT,NaCl,53.86,,1,weak
139.9,ThT,NaCl,60.39,,1,weak
140,ThT,NaCl,60.76,,1,weak
140.5,ThT,NaCl,110.05,,1,weak
141,ThT,NaCl,129.7,,1,weak
141AF,ThT,NaCl,177.1,,1,strong
141T,ThT,NaCl,60.39,,1,weak
142.4,ThT,NaCl,126.2,,1,weak
142.6,ThT,NaCl,111.10499999999999,,1,weak
143.2,ThT,NaCl,50.04,,1,weak
143.3,ThT,NaCl,146.55,,1,strong
144.6,ThT,NaCl,86.55,,1,weak
144A,ThT,NaCl,126.2,,1,weak
144T,ThT,NaCl,75.49000000000001,,1,weak
145,ThT,NaCl,168.5,,1,strong
145.6,ThT,NaCl,62.74,,1,weak
146,ThT,NaCl,151.0,,1,strong
146.5,ThT,NaCl,177.7,,1,strong
146.6,ThT,NaCl,136.3,,1,strong
147.2,ThT,NaCl,112.38,,1,weak
147.8,ThT,NaCl,139.75,,1,strong
148.5,ThT,NaCl,65.48,,1,weak
149.8,ThT,NaCl,146.55,,1,strong
151,ThT,NaCl,115.88,,1,weak
151.1,ThT,NaCl,122.675,,1,weak
151AF,ThT,NaCl,190.75,,1,strong
151T,ThT,NaCl,62.2,,1,weak
152.2,ThT,NaCl,145.8,,1,strong
153.7,ThT,NaCl,117.81,,1,weak
154.9,ThT,NaCl,124.86,,1,weak
155.6,ThT,NaCl,67.4,,1,weak
155A,ThT,NaCl,104.13499999999999,,1,weak
155T,ThT,NaCl,66.355,,1,weak
156,ThT,NaCl,151.0,,1,strong
157.5,ThT,NaCl,175.75,,1,strong
162,ThT,NaCl,124.56,,1,weak
