well,mean_intensity,n_points,sample_id,ligand,cation
A1,76.36500000000001,2,L1A,ThT,NaCl
A1,76.36500000000001,2,75.14,ThT,NaCl
A1,76.36500000000001,2,77.59,ThT,NaCl
A10,90.935,2,L2AA,ThT,NaCl
A10,90.935,2,81.77,ThT,NaCl
A10,90.935,2,100.1,ThT,NaCl
A11,64.225,2,L2TA,ThT,NaCl
A11,64.225,2,45.63,ThT,NaCl
A11,64.225,2,82.82,ThT,NaCl
A12,77.33000000000001,2,L2AT,ThT,NaCl
A12,77.33000000000001,2,73.01,ThT,NaCl
A12,77.33000000000001,2,81.65,ThT,NaCl
A2,112.94999999999999,2,L2A,ThT,NaCl
A2,112.94999999999999,2,104.8,ThT,NaCl
A2,112.94999999999999,2,121.1,ThT,NaCl
A3,96.065,2,L3A,ThT,NaCl
A3,96.065,2,100.8,ThT,NaCl
A3,96.065,2,91.33,ThT,NaCl
A4,96.035,2,L1C,ThT,NaCl
A4,96.035,2,96.06,ThT,NaCl
A4,96.035,2,96.01,ThT,NaCl
A5,92.69999999999999,2,L2C,ThT,NaCl
A5,92.69999999999999,2,100.6,ThT,NaCl
A5,92.69999999999999,2,84.8,ThT,NaCl
A6,92.795,2,L3C,ThT,NaCl
A6,92.795,2,106.8,ThT,NaCl
A6,92.795,2,78.79,ThT,NaCl
A7,82.95,2,L1AA,ThT,NaCl
A7,82.95,2,87.28,ThT,NaCl
A7,82.95,2,78.62,ThT,NaCl
A8,72.78,2,L1TA,ThT,NaCl
A8,72.78,2,72.44,ThT,NaCl
A8,72.78,2,73.12,ThT,NaCl
A9,74.91,2,L1AT,ThT,NaCl
A9,74.91,2,73.32,ThT,NaCl
A9,74.91,2,76.5,ThT,NaCl
B1,89.10499999999999,2,L3AA,ThT,NaCl
B1,89.10499999999999,2,88,ThT,NaCl
B1,89.10499999999999,2,90.21,ThT,NaCl
B10,111.10499999999999,2,L2TC,ThT,NaCl
B10,111.10499999999999,2,142.6,ThT,NaCl
B10,111.10499999999999,2,79.61,ThT,NaCl
B11,121.25,2,L3CT,ThT,NaCl
B11,121.25,2,163.4,ThT,NaCl
B11,121.25,2,79.1,ThT,NaCl
B12,110.05,2,L3TC,ThT,NaCl
B12,110.05,2,140.5,ThT,NaCl
B12,110.05,2,79.6,ThT,NaCl
B2,81.5,2,L3AT,ThT,NaCl
B2,81.5,2,88.44,ThT,NaCl
B2,81.5,2,74.56,ThT,NaCl
B3,81.30000000000001,2,L3TA,ThT,NaCl
B3,81.30000000000001,2,79.59,ThT,NaCl
B3,81.30000000000001,2,83.01,ThT,NaCl
B4,115.88,2,L1CC,ThT,NaCl
B4,115.88,2,151,ThT,NaCl
B4,115.88,2,80.76,ThT,NaCl
B5,79.14,2,L2CC,ThT,NaCl
B5,79.14,2,128.3,ThT,NaCl
B5,79.14,2,29.98,ThT,NaCl
B6,86.55,2,L3CC,ThT,NaCl
B6,86.55,2,144.6,ThT,NaCl
B6,86.55,2,28.5,ThT,NaCl
B7,120.4,2,L1CT,ThT,NaCl
B7,120.4,2,163.4,ThT,NaCl
B7,120.4,2,77.4,ThT,NaCl
B8,117.81,2,L1TC,ThT,NaCl
B8,117.81,2,153.7,ThT,NaCl
B8,117.81,2,81.92,ThT,NaCl
B9,112.38,2,L2CT,ThT,NaCl
B9,112.38,2,147.2,ThT,NaCl
B9,112.38,2,77.56,ThT,NaCl
C1,122.675,2,211AF,ThT,NaCl
C1,122.675,2,151.1,ThT,NaCl
C1,122.675,2,94.25,ThT,NaCl
C10,129.7,2,131AF,ThT,NaCl
C10,129.7,2,118.4,ThT,NaCl
C10,129.7,2,141,ThT,NaCl
C11,177.1,2,141AF,ThT,NaCl
C11,177.1,2,190.1,ThT,NaCl
C11,177.1,2,164.1,ThT,NaCl
C12,190.75,2,151AF,ThT,NaCl
C12,190.75,2,187.6,ThT,NaCl
C12,190.75,2,193.9,ThT,NaCl
C2,145.8,2,311AF,ThT,NaCl
C2,145.8,2,152.2,ThT,NaCl
C2,145.8,2,139.4,ThT,NaCl
C3,175.75,2,411AF,ThT,NaCl
C3,175.75,2,157.5,ThT,NaCl
C3,175.75,2,194,ThT,NaCl
C4,168.5,2,511AF,ThT,NaCl
C4,168.5,2,145,ThT,NaCl
C4,168.5,2,192,ThT,NaCl
C5,124.56,2,112AF,ThT,NaCl
C5,124.56,2,162,ThT,NaCl
C5,124.56,2,87.12,ThT,NaCl
C6,124.86,2,113AF,ThT,NaCl
C6,124.86,2,154.9,ThT,NaCl
C6,124.86,2,94.82,ThT,NaCl
C7,150.15,2,114AF,ThT,NaCl
C7,150.15,2,167.8,ThT,NaCl
C7,150.15,2,132.5,ThT,NaCl
C8,151.0,2,115AF,ThT,NaCl
C8,151.0,2,146,ThT,NaCl
C8,151.0,2,156,ThT,NaCl
C9,177.7,2,121AF,ThT,NaCl
C9,177.7,2,208.9,ThT,NaCl
C9,177.7,2,146.5,ThT,NaCl
D1,53.86,1,211T,ThT,NaCl
D1,53.86,1,139.7,ThT,NaCl
D1,53.86,1,53.86,ThT,NaCl
D10,50.04,1,131T,ThT,NaCl
D10,50.04,1,143.2,ThT,NaCl
D10,50.04,1,50.04,ThT,NaCl
D11,60.39,1,141T,ThT,NaCl
D11,60.39,1,139.9,ThT,NaCl
D11,60.39,1,60.39,ThT,NaCl
D12,70.92,1,115T,ThT,NaCl
D12,70.92,1,94.01,ThT,NaCl
D12,70.92,1,70.92,ThT,NaCl
D2,62.24,1,311T,ThT,NaCl
D2,62.24,1,128.2,ThT,NaCl
D2,62.24,1,62.24,ThT,NaCl
D3,62.74,1,411T,ThT,NaCl
D3,62.74,1,145.6,ThT,NaCl
D3,62.74,1,62.74,ThT,NaCl
D4,67.4,1,511T,ThT,NaCl
D4,67.4,1,155.6,ThT,NaCl
D4,67.4,1,67.4,ThT,NaCl
D5,55.64,1,112T,ThT,NaCl
D5,55.64,1,112.5,ThT,NaCl
D5,55.64,1,55.64,ThT,NaCl
D6,65.48,1,113T,ThT,NaCl
D6,65.48,1,148.5,ThT,NaCl
D6,65.48,1,65.48,ThT,NaCl
D7,66.59,1,114T,ThT,NaCl
D7,66.59,1,125,ThT,NaCl
D7,66.59,1,66.59,ThT,NaCl
D8,62.2,1,151T,ThT,NaCl
D8,62.2,1,129.8,ThT,NaCl
D8,62.2,1,62.2,ThT,NaCl
